act to	разыгрывать
Заимствовать Borrow
Заказ Order
Заканчивать Finish
Заключение Conclusion
Залив Bay
Залог Bail
Замок Lock
Занавес Curtain
Запутанный Complicated
Заслуживать Deserve
Затем Then
Затылок Back of the head
Захватывающий Exciting
Звезда Star
Звонок Bell
Земляника Strawberry
Злиться Be angry
Злоупотребление Abuse
Змея Snake
Знак Sign
Знания Knowledge
Значение Meaning
Значительный Significant
Золото Gold
Зонт Umbrella
Зрение Vision
Игрушка Toy
Идиот Idiot
Из From
Извиняться Apologize
Изгиб Bend
Изобилие Abundance
Икра Roe
Имущество Property
Индейка Turkey
Иностранный Foreign
Инструмент Tool
Интеллект Intelligence
Интересный Interesting
Ипотека Mortgage
Иск Claim
Искренний Sincere
Искусственный Artificial
Искушение Temptation
Использование Use
Использовать Use
Испуганный Frightened
История History
Исчерпанный Depleted
К To
Каблук Heel
Каждый Each
Казаться Seem
Какао Cocoa
Каламбур Pun
Камера Camera
Каникулы Vacation
Карман Pocket
Кашель Cough
Кепка Cap
Киска Pussy
Кит Whale
Клюква Cranberry
Клён Maple
Кнопка Button
Коврик Mat
Кожа Skin
Коза Goat
Кокос Coconut
Колонка Column
Команда Team
Конвенция Convention
Конверт Envelope
Кондиционер Air conditioner
Конец End
Конкурент Competitor
Конкуренция Competition
Конкурс Competition
Конь Horse
Коньяк Brandy
Копать Dig
Копить Save
Корзина Basket
Корица Cinnamon
Кормить Feed
Котлета Cutlet
Который Which
Котёнок Kitten
Кошмар Nightmare
Кража Theft
Краска Paint
Креветка Shrimp
Кредит Credit
Крепление Mount
Кривой Crooked
Крик Shout
Кровь Blood
Крокодил Crocodile
Кролик Rabbit
Кружево Lace
Крыжовник Gooseberry
Крыло Wing
Крыльцо Porch
Кувшин Pitcher
Кукла Doll
Кулак Fist
Культура Culture
Курорт Resort
Курс Rate
Куст Bush
Лак Varnish
Ласковый Tender
Ласточка Swallow
Лаять Bark
Лев Lion
Легкий Easy
Легко Easy
Лень Laziness
Лечение Treatment
Ли Whether
Ливень Rainfall
Лимонад Lemonade
Лить Pour
Лифт Elevator
Ловить Catch
Ловушка Trap
Лодка Boat
Ложь Lie
Ломать Break
Лось Elk
Лужа Pool
Лучший Best
Лыжи Skis
Лысый Bald
Любимый Favorite
Любительский Amateur
Любопытство Curiosity
Лёгкие Lungs
Лёд Ice
Масштаб Scale
Мед Honey
Медленно Slowly
Меньше Less
Менять Change
Мех Fur
Мечтать Dream
Мешать Interfere
Милая Dear
Минута Minute
Миска Bowl
Младший Younger
Множественный Multiple
Множество Many
Могила Grave
Мода Fashion
Можно Can
Мозг Brain
Молния Lightning
Молодец Well done
Молодой Young
Монета Coin
Морепродукты Seafood
Мороженое Ice cream
Мошенничество Fraud
Мрачный Dark
Мудрость Wisdom
Мудрый Wise
Музей Museum
Муравей Ant
Мыть Wash
Наблюдать Watch
Набор Set
Наволочка Pillowcase
Навсегда Forever
Навык Skill
Навязчивый Intrusive
Над Over
Надевать Put on
Надежный Reliable
Надеяться Hope
Надоело Fed up
Назначать Appoint
Назначение Appointment
Называться Be called
Наиболее Most
Найти To find
Наказывать Punish
Наличные Cash
Налог Tax
Наоборот On the contrary
Напиток Beverage
Направление Direction
Напряжение Voltage
Наречие Adverb
Нарушать Break
Насилие Violence
Насморк Running nose
Настаивать Insist
Настойчивость Persistence
Настроение Mood
Наступление Offensive
Начало Start
Не Not
Невероятный Incredible
Недвижимость Real estate
Недостаток Shortcoming
Нежелание Reluctance
Независимый Independent
Неизбежный Inevitable
Немецкий German
Ненависть Hatred
Неохотно Reluctantly
Непристойный Obscene
Несомненно No doubt
